id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,23.196.227.10,be:0a:b7:dc:41:d9,be:0a:b7,80,10.246.129.5,02:a6:c8:3b:61:f9,02:a6:c8,62830,6,4,0,0,1783577943858,1783577948860,5002,2806,2762305,1783577943858,1783577948860,5002,1891,2713423,1783577943859,1783577948860,5001,915,48882,52,984.4280114041334,650.4393164942165,1440,158,1434.9143310417746,70.15192176872927,1440,52,53.42295081967205,24.823563795529186,486,0,1.7832442067736203,7.188867713389424,237,0,2.6465608465608463,8.703938815132284,238,0,5.471553610503279,12.218248987375206,237,0,0,0,0,2806,940,0,0,0,0,0,0,1891,937,0,0,0,0,0,0,915,3,0,0,HTTP,Web,0,1,,,,,
1,0,23.196.227.7,be:0a:b7:dc:41:d9,be:0a:b7,80,10.246.129.5,02:a6:c8:3b:61:f9,02:a6:c8,62829,6,4,0,0,1783577943859,1783577948860,5001,1536,1379363,1783577943859,1783577948860,5001,1025,1352357,1783577943859,1783577948860,5001,511,27006,52,898.0227864583329,597.2748973994311,1320,677,1319.3726829268278,20.083945778874785,1320,52,52.84931506849312,19.199029655845298,486,0,3.2579804560260595,9.630048574837252,133,0,4.883789062500003,11.484920237537468,134,0,9.80588235294117,14.97134016157793,133,0,0,0,0,1536,513,0,0,0,0,0,0,1025,512,0,0,0,0,0,0,511,1,0,0,HTTP,Web,0,1,,,,,
2,0,172.64.148.235,be:0a:b7:dc:41:d9,be:0a:b7,443,10.246.129.5,02:a6:c8:3b:61:f9,02:a6:c8,49201,6,4,0,0,1783577944941,1783577948737,3796,8,488,1783577944941,1783577948737,3796,4,232,1783577944941,1783577947113,2172,4,256,52,61.0,7.6345081233642205,68,52,58.0,6.928203230275509,64,52,64.0,8.0,68,0,542.2857142857142,692.6157458710937,1621,686,1265.3333333333333,506.0398535029957,1621,137,724.0,606.8929065329402,1349,0,0,0,0,8,5,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,3,0,0,TLS,Web,0,6,,,,,
